emp_no,first_name,last_name,birth_date,from_date,to_date,title
" 76,201 ",Arif,Preusig,1/10/65,4/2/92,1/1/99,Senior Engineer
" 76,640 ",Tristan,Mitsuhashi,1/2/65,7/13/94,1/1/99,Senior Engineer
" 77,030 ",Faiza,Garnham,1/2/65,3/2/86,1/1/99,Technique Leader
" 77,303 ",Xinglin,Birge,1/18/65,3/5/92,1/1/99,Senior Staff
" 77,647 ",Niranjan,Schaaf,1/7/65,11/5/89,1/1/99,Technique Leader
" 77,815 ",Ronghao,Picaronny,1/21/65,6/9/93,1/1/99,Engineer
" 78,106 ",Ashish,Ratnaker,1/9/65,1/17/00,1/1/99,Senior Staff
" 78,363 ",Susumu,Fritzsche,1/3/65,6/23/98,1/1/99,Engineer
" 78,469 ",Leucio,Cappelli,1/28/65,8/22/97,1/1/99,Staff
" 78,871 ",Conor,Ghandeharizadeh,1/15/65,5/25/85,1/1/99,Senior Engineer
" 79,043 ",Katsuo,Hockney,1/24/65,11/7/99,1/1/99,Technique Leader
" 79,171 ",Guiseppe,Ellozy,1/19/65,1/12/91,1/1/99,Senior Engineer
" 79,310 ",Jeong,Cunliffe,1/24/65,10/27/96,1/1/99,Senior Staff
" 79,606 ",Arnd,Peir,1/3/65,12/11/86,1/1/99,Senior Engineer
" 79,763 ",Sanjoy,Barreiro,1/20/65,4/9/88,1/1/99,Senior Staff
" 79,895 ",Fei,Murtagh,1/30/65,1/19/86,1/1/99,Senior Staff
" 80,067 ",Kazuhisa,Weiland,1/19/65,11/9/85,1/1/99,Senior Staff
" 80,203 ",Shakhar,Baik,1/22/65,12/1/93,1/1/99,Staff
" 80,432 ",Stella,Figueira,1/17/65,3/14/90,1/1/99,Senior Staff
" 80,731 ",Shaowen,Eldridge,1/25/65,12/5/87,1/1/99,Senior Staff
" 80,850 ",Koldo,Luit,2/1/65,4/16/95,1/1/99,Senior Engineer
" 80,889 ",Shigeo,Linnainmaa,1/7/65,7/30/85,1/1/99,Senior Engineer
" 80,948 ",Harjit,Bardell,1/27/65,5/24/91,1/1/99,Senior Engineer
" 81,105 ",Jaewon,Boissier,1/14/65,5/24/92,1/1/99,Senior Engineer
" 81,545 ",Larisa,Kornyak,1/13/65,2/7/00,1/1/99,Technique Leader
" 81,644 ",Divine,Ghandeharizadeh,1/5/65,11/28/97,1/1/99,Staff
" 81,995 ",Sreekrishna,Brender,1/10/65,3/22/90,1/1/99,Senior Engineer
" 82,069 ",Yechezkel,Perfilyeva,1/20/65,11/3/94,1/1/99,Senior Engineer
" 82,098 ",Poornachandra,Wilharm,1/25/65,4/20/91,1/1/99,Senior Engineer
" 82,351 ",Stevo,Thambidurai,1/26/65,10/27/89,1/1/99,Senior Staff
" 82,511 ",Uwe,Koblick,1/27/65,4/4/98,1/1/99,Engineer
" 82,919 ",Shigeu,Claffy,1/5/65,12/19/98,1/1/99,Engineer
" 82,928 ",Alselm,Rikino,1/27/65,11/16/90,1/1/99,Senior Engineer
" 83,280 ",Francesca,Ellozy,1/7/65,8/8/99,1/1/99,Senior Engineer
" 83,289 ",Shigeichiro,Engelmann,1/9/65,1/9/94,1/1/99,Senior Engineer
" 83,509 ",Breannda,Collavizza,1/4/65,10/12/89,1/1/99,Senior Engineer
" 83,544 ",Leaf,Baak,1/18/65,9/5/94,1/1/99,Senior Staff
" 83,714 ",Ohad,Kilgore,1/27/65,7/1/90,10/10/00,Senior Engineer
" 83,805 ",Manohar,Harllee,1/23/65,3/11/87,1/1/99,Senior Engineer
" 83,941 ",Zsolt,Hagimont,1/11/65,10/8/96,1/1/99,Senior Staff
" 84,029 ",Babette,Eugenio,1/27/65,9/21/97,1/1/99,Staff
" 84,179 ",Shuichi,Nanard,1/25/65,3/14/89,1/1/99,Senior Engineer
" 84,236 ",Eberhardt,Barriga,1/18/65,6/4/87,1/1/99,Senior Staff
" 84,315 ",Kristina,Baumann,1/23/65,9/26/96,1/1/99,Assistant Engineer
" 84,451 ",Shiv,Aumann,1/20/65,6/14/98,1/1/99,Senior Engineer
" 84,508 ",Tommaso,Vidya,1/17/65,5/2/98,1/1/99,Engineer
" 84,840 ",Sverrir,Neimat,1/14/65,11/3/96,1/1/99,Staff
" 84,922 ",Parke,Unno,1/22/65,7/1/96,1/1/99,Engineer
" 84,942 ",Shin,Fujisaki,1/15/65,2/23/88,1/1/99,Technique Leader
" 85,216 ",Ferdinand,Rosiles,1/18/65,7/8/97,1/1/99,Senior Staff
" 85,288 ",Younwoo,Luders,1/6/65,3/31/95,12/8/98,Senior Engineer
" 85,414 ",Chiradeep,Callaway,1/14/65,7/30/99,1/1/99,Staff
" 85,445 ",Yongdong,Pollock,1/9/65,3/17/98,1/1/99,Staff
" 85,702 ",Udi,Merks,1/4/65,8/15/97,1/1/99,Engineer
" 85,874 ",Pasqua,Taubman,1/30/65,6/23/86,1/1/99,Senior Staff
" 86,213 ",Kristine,Clemencon,1/28/65,6/1/93,1/1/99,Senior Staff
" 86,354 ",Ronghao,Segond,1/27/65,9/13/93,1/1/99,Senior Engineer
" 86,422 ",Jaewon,Thummel,2/1/65,9/14/85,1/1/99,Senior Staff
" 86,546 ",Oldrich,Woycyznski,1/9/65,5/15/85,1/1/99,Senior Engineer
" 86,655 ",Zhenhua,Lorys,1/1/65,8/21/95,1/1/99,Engineer
" 86,672 ",JoAnne,Anido,1/15/65,9/15/95,1/1/99,Staff
" 87,129 ",Keung,Neiman,1/16/65,4/13/97,1/1/99,Staff
" 87,353 ",Quingbo,Coombs,1/7/65,1/17/99,1/1/99,Senior Engineer
" 87,714 ",Khun,Janetzko,1/16/65,9/13/89,1/1/99,Engineer
" 87,729 ",Yongmin,Roccetti,1/24/65,12/10/86,1/1/99,Senior Staff
" 87,783 ",Conor,Thorensen,1/26/65,2/24/88,1/1/99,Senior Engineer
" 88,103 ",Goo,Bresenham,1/9/65,1/31/99,1/1/99,Senior Staff
" 88,411 ",Lena,Cannane,1/31/65,1/28/00,1/1/99,Engineer
" 88,422 ",Jungsoon,Birsak,1/28/65,4/3/85,1/1/99,Technique Leader
" 88,647 ",Vasiliy,Ratnaker,1/10/65,8/9/95,1/1/99,Engineer
" 88,958 ",Vojin,Coombs,1/22/65,7/23/95,1/1/99,Senior Staff
" 88,965 ",Mang,Hedayat,1/20/65,5/22/95,1/1/99,Engineer
" 89,048 ",Otmar,Birjandi,1/24/65,3/23/85,1/1/99,Senior Engineer
" 89,090 ",Tetsushi,Theuretzbacher,1/26/65,2/1/90,1/1/99,Senior Staff
" 89,161 ",Conal,Yetto,1/7/65,1/12/91,1/1/99,Senior Staff
" 89,207 ",Along,Erol,1/15/65,10/16/92,1/1/99,Senior Staff
" 89,346 ",Mansur,Comyn,1/13/65,8/31/99,1/1/99,Engineer
" 89,590 ",Guther,Rothenberg,1/27/65,8/8/91,1/1/99,Senior Staff
" 89,664 ",Pranjal,Rossi,1/20/65,7/7/98,1/1/99,Staff
" 89,680 ",Aiman,Mawatari,1/27/65,5/1/88,1/1/99,Senior Engineer
" 89,806 ",Xiadong,Shinomoto,1/27/65,5/24/97,1/1/99,Senior Engineer
" 89,922 ",Alexius,Ibel,1/26/65,4/24/88,1/1/99,Senior Engineer
" 89,941 ",Arnould,Weedman,1/23/65,7/28/89,1/1/99,Senior Staff
" 90,077 ",Vivian,Guerreiro,1/24/65,7/8/91,1/1/99,Engineer
" 90,084 ",Renny,Bale,1/1/65,11/22/89,1/1/99,Senior Engineer
" 90,211 ",Bader,Denis,1/15/65,10/6/97,1/1/99,Engineer
" 90,292 ",Koichi,Assaf,1/9/65,5/26/90,1/1/99,Senior Engineer
" 90,518 ",Fumiko,Chepyzhov,1/24/65,1/28/88,1/1/99,Senior Staff
" 90,614 ",Yonghoan,Trogemann,1/29/65,9/23/88,1/1/99,Engineer
" 90,692 ",Rajmohan,DasSarma,1/3/65,9/14/85,1/1/99,Senior Staff
" 91,172 ",Kazuhisa,Melter,1/19/65,7/16/87,1/1/99,Senior Staff
" 91,182 ",Lucien,Schwartzburd,1/4/65,8/25/88,1/1/99,Senior Engineer
" 91,229 ",Yahiko,Hebden,1/1/65,10/3/96,1/1/99,Senior Engineer
" 91,256 ",Gunilla,Milicic,1/13/65,1/9/98,1/1/99,Staff
" 91,333 ",Lobel,Stafford,1/27/65,11/29/98,1/1/99,Staff
" 91,415 ",Jamaludin,Nilsson,1/4/65,1/15/87,1/1/99,Senior Staff
" 91,648 ",Dmitry,Msuda,1/29/65,10/22/88,1/1/99,Senior Staff
" 92,438 ",Aria,Kilgore,1/4/65,4/11/92,1/1/99,Senior Engineer
" 92,454 ",Visit,McFarlan,1/24/65,10/22/87,1/1/99,Senior Engineer
" 92,577 ",Zhanqiu,Farrow,1/6/65,1/10/99,1/1/99,Assistant Engineer
" 92,598 ",Ranga,Merro,1/18/65,5/11/96,1/1/99,Assistant Engineer
" 92,685 ",Mang,Atchley,1/26/65,6/7/95,1/1/99,Senior Staff
" 92,841 ",Claude,Candan,1/22/65,8/4/93,1/1/99,Senior Staff
" 92,846 ",Anyuan,Kropatsch,1/11/65,9/5/86,1/1/99,Senior Staff
" 92,920 ",Huei,Hutter,1/20/65,1/28/93,1/1/99,Senior Engineer
" 93,040 ",Jaques,Kabayashi,1/19/65,3/13/92,1/1/99,Senior Engineer
" 93,220 ",Richara,Walston,1/11/65,8/27/96,1/1/99,Senior Engineer
" 93,278 ",Magdalena,Penn,2/1/65,1/4/97,1/1/99,Senior Engineer
" 93,549 ",Arie,Coullard,2/1/65,3/28/00,1/1/99,Senior Staff
" 93,600 ",Kristina,Neimat,1/13/65,4/18/88,1/1/99,Technique Leader
" 94,331 ",Ramzi,Cronau,1/26/65,9/3/99,1/1/99,Technique Leader
" 94,416 ",Aran,Cesareni,1/1/65,2/10/90,11/20/01,Senior Staff
" 94,761 ",Hitofumi,Zaccaria,1/27/65,11/22/88,1/1/99,Senior Engineer
" 94,944 ",Heping,Matheson,1/13/65,6/24/88,1/1/99,Senior Engineer
" 95,181 ",Yishai,Cappelli,1/28/65,1/30/97,1/1/99,Staff
" 95,286 ",Kristin,Guerreiro,1/18/65,8/23/89,1/1/99,Senior Engineer
" 95,314 ",Rasiah,Koblick,1/22/65,8/21/91,1/1/99,Senior Staff
" 95,406 ",Alair,Lyonns,1/8/65,7/12/97,1/1/99,Engineer
" 95,416 ",Gianluca,Ramaiah,1/13/65,11/29/93,1/1/99,Engineer
" 95,509 ",Kristinn,Loncour,1/11/65,2/8/95,1/1/99,Engineer
" 95,920 ",Nobuyoshi,Hegner,1/19/65,9/7/94,1/1/99,Senior Staff
" 96,571 ",Kokou,Garrabrants,1/13/65,11/5/97,1/1/99,Senior Engineer
" 96,579 ",Mohan,Tasistro,1/18/65,2/10/96,1/1/99,Engineer
" 96,767 ",Arumugam,Vecchio,1/7/65,8/14/85,1/1/99,Senior Engineer
" 97,018 ",Jeanna,Chinen,1/9/65,1/1/89,1/1/99,Senior Engineer
" 97,623 ",Haldon,Janetzko,1/25/65,9/11/90,1/1/99,Senior Staff
" 97,661 ",Avishai,Hegner,1/31/65,5/8/93,1/1/99,Senior Staff
" 98,288 ",Sumali,Huttel,1/12/65,9/12/89,1/1/99,Senior Staff
" 98,306 ",Ziya,Kadhim,1/16/65,6/24/99,1/1/99,Senior Engineer
" 98,639 ",Florina,Assaf,1/29/65,5/18/96,1/1/99,Staff
" 99,057 ",Shugo,Reeken,1/30/65,6/21/99,1/1/99,Staff
" 99,373 ",Xiaobin,Christianini,1/13/65,12/25/85,1/1/99,Senior Staff
" 99,377 ",Carrsten,Francisci,1/18/65,6/16/91,1/1/99,Senior Engineer
" 99,590 ",Dhritiman,Anily,1/24/65,12/16/98,1/1/99,Staff
" 99,654 ",Mahendra,Motley,1/30/65,9/28/85,1/1/99,Senior Staff
" 100,865 ",Hisao,Peral,1/19/65,10/3/90,1/1/99,Senior Engineer
" 100,916 ",Heejo,Aamodt,1/18/65,4/22/92,1/1/99,Senior Engineer
" 101,487 ",Abdelaziz,Sury,1/14/65,1/31/91,1/1/99,Senior Staff
" 101,647 ",Mori,Homond,1/22/65,5/10/94,1/1/99,Senior Staff
" 101,902 ",Mantis,Millington,1/14/65,3/18/91,1/1/99,Senior Staff
" 102,620 ",Adin,Templeman,1/3/65,12/10/97,8/12/99,Engineer
" 103,196 ",Djenana,Albarhamtoshy,1/16/65,7/16/88,1/1/99,Senior Staff
" 103,310 ",Visit,Swen,1/7/65,10/2/95,1/1/99,Senior Staff
" 103,316 ",Susanne,Peternell,1/3/65,7/27/94,1/1/99,Senior Engineer
" 103,342 ",Beshir,Hellwagner,1/3/65,2/3/98,1/1/99,Engineer
" 103,756 ",Heping,Halloran,1/31/65,4/8/92,1/1/99,Engineer
" 104,133 ",Pranjal,Zyda,1/31/65,7/3/91,1/1/99,Senior Staff
" 104,845 ",Werner,Lodder,1/29/65,6/17/92,1/1/99,Senior Staff
" 104,988 ",Parviz,Litzler,1/7/65,8/8/92,1/1/99,Senior Engineer
" 105,342 ",Kwun,Reeker,1/1/65,7/29/99,1/1/99,Technique Leader
" 105,356 ",Diederik,Matzov,1/29/65,5/12/88,3/8/95,Senior Engineer
" 105,432 ",Mohamadou,Stafford,1/8/65,9/12/95,1/1/99,Senior Engineer
" 105,520 ",Haldun,Lienhardt,1/1/65,1/29/87,1/1/99,Senior Staff
" 105,731 ",Sachem,Cromarty,1/15/65,8/20/90,1/1/99,Engineer
" 106,096 ",Naftali,Schurmann,1/14/65,12/2/92,1/1/99,Senior Engineer
" 106,242 ",Nevio,Thisen,2/1/65,3/25/88,1/1/99,Senior Staff
" 106,695 ",Lijie,Garrabrants,1/31/65,10/26/88,1/1/99,Senior Staff
" 106,710 ",Babette,Anandan,1/31/65,11/22/86,1/1/99,Senior Staff
" 107,486 ",Siamak,Luiz,1/23/65,2/11/87,1/1/99,Senior Engineer
" 107,737 ",Fabrizio,Chleq,1/23/65,7/31/99,1/1/99,Senior Engineer
" 107,792 ",Shahab,Crooks,1/13/65,3/18/92,1/1/99,Senior Staff
" 107,828 ",Ramya,Walston,1/26/65,2/3/89,1/1/99,Senior Staff
" 108,091 ",Hisao,Ghemri,1/9/65,11/14/85,1/1/99,Senior Staff
" 108,198 ",Randi,Samarati,1/24/65,10/20/92,1/1/99,Senior Staff
" 108,316 ",Shai,Stellhorn,1/2/65,5/21/92,1/1/99,Senior Engineer
" 108,988 ",Oksana,Baek,1/19/65,7/20/89,1/1/99,Senior Staff
" 109,062 ",Jamaludin,Kandlur,2/1/65,6/19/92,1/1/99,Senior Engineer
" 109,211 ",Gor,Delgrande,1/11/65,11/7/95,6/18/02,Senior Engineer
" 109,252 ",Moty,Winter,1/15/65,4/28/91,1/1/99,Technique Leader
" 109,278 ",Bangqing,Schach,1/21/65,3/22/88,1/1/99,Senior Staff
" 109,552 ",Menkae,Etalle,1/31/65,5/21/97,1/1/99,Engineer
" 109,598 ",Stamatina,Auyong,2/1/65,7/5/88,1/1/99,Senior Staff
" 109,620 ",Mani,Cannata,1/2/65,6/21/89,1/1/99,Senior Staff
" 109,703 ",Arco,Walston,1/17/65,8/16/99,1/1/99,Engineer
" 109,741 ",Hatem,Fadgyas,1/11/65,11/13/91,1/1/99,Senior Engineer
" 109,953 ",Godehard,Chorvat,1/26/65,4/10/88,1/1/99,Senior Staff
" 200,267 ",Chuanti,Luff,1/8/65,9/21/94,1/1/99,Senior Staff
" 200,312 ",Akemi,Fujisaki,1/27/65,11/13/01,1/1/99,Senior Engineer
" 200,363 ",Kirk,Quaggetto,1/10/65,6/30/87,1/1/99,Senior Engineer
" 200,735 ",Dinah,Denos,1/9/65,9/21/92,1/1/99,Senior Staff
" 200,789 ",Susumu,Camurati,1/14/65,12/15/91,1/1/99,Senior Staff
" 201,229 ",Alejandra,Khasidashvili,1/3/65,7/30/94,1/1/99,Staff
" 201,708 ",Anneli,Perl,1/15/65,9/8/92,1/1/99,Senior Staff
" 201,709 ",Fan,Kakkad,1/1/65,2/25/88,1/1/99,Senior Staff
" 201,739 ",Genta,Terekhov,1/16/65,7/21/98,1/1/99,Assistant Engineer
" 201,801 ",Waiman,Genin,1/12/65,10/30/88,1/1/99,Senior Engineer
" 201,915 ",Sudharsan,DeMori,1/2/65,3/30/92,1/1/99,Senior Engineer
" 202,291 ",Ortrun,Schmiedel,1/16/65,7/18/97,1/1/99,Engineer
" 202,403 ",Gully,Perko,1/9/65,7/7/99,1/1/99,Engineer
" 202,414 ",Zvonko,Murthy,1/13/65,1/7/92,1/1/99,Senior Staff
" 202,552 ",Morris,Saoudi,1/5/65,11/22/91,1/1/99,Senior Engineer
" 202,826 ",Kerhong,Matzke,1/19/65,11/14/86,1/1/99,Senior Engineer
" 202,882 ",Isaac,Koshino,1/25/65,9/28/95,1/1/99,Senior Engineer
" 202,950 ",Giordano,Pietrzykowski,1/17/65,3/26/87,1/1/99,Senior Staff
" 203,474 ",Hugh,Jonsson,1/3/65,7/6/91,1/1/99,Senior Staff
" 203,495 ",Zongyan,Gips,1/2/65,5/31/97,1/1/99,Technique Leader
" 203,599 ",Ewing,DiGiano,1/21/65,2/1/00,1/1/99,Technique Leader
" 203,720 ",Sasan,Thimonier,1/30/65,8/21/96,1/1/99,Senior Staff
" 203,946 ",Yefim,Marwedel,1/23/65,3/30/93,1/1/99,Senior Staff
" 204,117 ",Jessie,Nooteboom,1/10/65,8/13/99,12/13/00,Staff
" 204,133 ",Susuma,Bergere,1/22/65,2/25/96,1/1/99,Senior Staff
" 204,246 ",Arve,Worfolk,1/9/65,4/1/85,1/1/99,Senior Staff
" 204,425 ",Gretta,Huttel,1/3/65,10/8/90,1/1/99,Senior Engineer
" 204,470 ",Hein,Lichtner,1/22/65,5/2/98,1/1/99,Senior Staff
" 204,471 ",Franziska,Maginnis,1/27/65,2/17/86,1/1/99,Senior Engineer
" 204,764 ",Susanne,Mandelberg,1/22/65,11/2/90,1/1/99,Senior Engineer
" 205,018 ",Yahiko,Awdeh,1/26/65,8/5/98,1/1/99,Engineer
" 205,085 ",Moni,Kornyak,1/23/65,9/26/91,1/1/99,Technique Leader
" 205,174 ",Leszek,Spinelli,1/5/65,12/10/98,1/1/99,Staff
" 205,500 ",Mary,Setiz,1/4/65,1/13/89,1/1/99,Senior Engineer
" 205,627 ",Stabislas,Broder,1/21/65,7/16/96,1/1/99,Senior Engineer
" 205,660 ",Kien,Barreiro,1/27/65,10/24/00,1/1/99,Staff
" 205,699 ",Youjian,Yetto,1/31/65,12/7/94,1/1/99,Senior Staff
" 205,789 ",Limsoon,Skafidas,1/31/65,8/10/99,1/1/99,Senior Staff
" 205,863 ",Aiichiro,Kusalik,1/6/65,10/4/90,1/1/99,Senior Engineer
" 206,748 ",Yucai,Fabrizio,1/7/65,10/6/99,1/1/99,Staff
" 206,836 ",Guadalupe,Pfau,1/12/65,3/22/93,1/1/99,Senior Staff
" 206,966 ",Tzu,Sichman,1/21/65,11/17/87,1/1/99,Senior Engineer
" 207,021 ",Jacqueline,Akaboshi,1/20/65,12/6/97,1/1/99,Engineer
" 207,068 ",Zhiguo,Ariola,1/13/65,9/7/94,1/1/99,Senior Staff
" 207,204 ",Kellie,Schrooten,1/25/65,1/17/91,1/1/99,Engineer
" 207,401 ",Shuji,Barbanera,1/4/65,8/10/87,1/1/99,Senior Staff
" 207,551 ",Baziley,Falck,1/15/65,2/18/95,1/1/99,Assistant Engineer
" 207,779 ",Chinya,Kamble,1/16/65,5/31/92,1/1/99,Senior Staff
" 207,980 ",Remko,Vieth,1/7/65,11/22/90,1/1/99,Senior Staff
" 208,147 ",Manu,Rothenberg,1/9/65,12/6/88,1/1/99,Senior Engineer
" 208,330 ",Shen,Flanders,1/11/65,7/3/89,1/1/99,Senior Staff
" 208,639 ",Larisa,Lukaszewicz,1/27/65,10/10/89,10/30/96,Senior Staff
" 208,653 ",Phillip,Schade,1/23/65,3/3/89,1/1/99,Senior Engineer
" 208,784 ",Pranjal,Juneja,1/30/65,3/21/85,1/1/99,Senior Engineer
" 209,101 ",Xinyu,Edelhoff,1/5/65,10/26/97,1/1/99,Senior Engineer
" 209,443 ",Krassimir,Garnier,1/19/65,1/26/98,1/1/99,Senior Staff
" 209,565 ",Dante,Covnot,1/9/65,5/28/89,1/1/99,Senior Staff
" 209,712 ",Nimmagadda,Baak,1/17/65,10/30/87,1/1/99,Engineer
" 210,017 ",Shalesh,Lovengreen,1/28/65,9/29/90,1/1/99,Senior Staff
" 210,292 ",Lihong,Zeilberger,1/18/65,4/28/96,1/1/99,Staff
" 210,449 ",Gino,Lagarias,1/19/65,6/22/97,1/1/99,Engineer
" 210,752 ",Saniya,Stenning,1/25/65,12/10/86,1/1/99,Senior Staff
" 210,786 ",Werner,Ranze,1/31/65,6/5/98,1/1/99,Staff
" 211,858 ",Domenico,Ratnaker,1/8/65,3/24/85,1/1/99,Senior Engineer
" 211,879 ",Gao,Ranze,1/12/65,11/24/94,1/1/99,Senior Engineer
" 211,967 ",Anwar,Bain,1/7/65,1/22/89,1/1/99,Senior Engineer
" 212,093 ",Leni,Henders,1/11/65,11/19/93,1/1/99,Senior Staff
" 212,154 ",Sailaja,Holburn,1/17/65,3/4/91,1/1/99,Senior Staff
" 212,361 ",Claudi,Stanfel,1/16/65,1/7/96,1/1/99,Senior Engineer
" 213,016 ",Yongmao,Fontan,1/22/65,7/26/93,1/1/99,Senior Engineer
" 213,140 ",Tru,Danecki,1/10/65,3/31/97,1/1/99,Staff
" 213,384 ",Pranas,Narwekar,1/4/65,9/26/85,1/1/99,Senior Engineer
" 213,447 ",Armond,Perly,2/1/65,9/14/89,1/1/99,Senior Engineer
" 214,215 ",Xiaoqiang,Cardazo,1/25/65,5/28/93,1/1/99,Senior Staff
" 214,391 ",Rayond,Klassen,1/15/65,9/11/93,1/1/99,Senior Staff
" 214,427 ",Peer,Molberg,1/29/65,11/17/96,1/1/99,Engineer
" 214,539 ",Ingmar,Kohling,1/27/65,4/25/95,1/1/99,Engineer
" 214,634 ",Shirish,Vickson,1/12/65,10/24/89,1/1/99,Senior Engineer
" 214,789 ",Arfst,Chepyzhov,1/28/65,2/6/89,1/1/99,Senior Engineer
" 214,866 ",Gopalakrishnan,Angel,2/1/65,7/5/97,1/1/99,Senior Engineer
" 214,995 ",Dinkar,Hoppenstand,1/12/65,5/4/94,1/1/99,Engineer
" 215,419 ",Flemming,Kroha,1/16/65,1/23/95,1/1/99,Staff
" 215,629 ",Munehiro,Manders,1/15/65,5/18/87,1/1/99,Senior Staff
" 215,746 ",Sven,Speer,1/8/65,7/8/99,1/1/99,Staff
" 215,843 ",Pramod,Loncour,1/30/65,3/31/87,1/1/99,Senior Staff
" 216,054 ",Sahrah,Angiulli,1/24/65,7/31/86,1/1/99,Senior Staff
" 216,342 ",Aiichiro,Cromarty,1/22/65,6/10/95,1/1/99,Senior Engineer
" 216,375 ",Byong,Gustavson,1/16/65,3/12/85,1/1/99,Senior Engineer
" 216,502 ",Xiaocheng,Suermann,1/26/65,12/15/97,1/1/99,Engineer
" 216,573 ",Ashish,Vidya,1/29/65,6/16/89,1/1/99,Senior Engineer
" 216,921 ",Lena,Lenart,1/22/65,12/25/90,1/1/99,Senior Staff
" 217,026 ",Otmar,Engberts,1/11/65,8/16/93,1/1/99,Senior Staff
" 217,080 ",Masami,Puoti,1/12/65,1/21/00,1/1/99,Senior Engineer
" 217,272 ",Yuchang,Eldridge,1/21/65,8/1/86,1/1/99,Senior Staff
" 217,286 ",Yannik,Spelt,1/5/65,9/22/92,1/1/99,Technique Leader
" 217,320 ",Abdelwaheb,Denis,1/10/65,9/10/93,1/1/99,Engineer
" 217,363 ",Horward,Marzano,1/14/65,4/11/96,1/1/99,Staff
" 217,387 ",Jianhao,Molenaar,1/21/65,10/22/87,1/1/99,Senior Engineer
" 217,551 ",Panayotis,Lukaszewicz,1/2/65,6/6/89,1/1/99,Senior Engineer
" 217,800 ",Shay,Servieres,2/1/65,8/6/98,1/1/99,Senior Staff
" 218,022 ",Mokhtar,Poupard,1/26/65,2/2/92,1/1/99,Technique Leader
" 218,100 ",Jiong,Garnham,1/24/65,1/2/90,1/1/99,Senior Staff
" 218,831 ",Unal,DuBourdieux,1/16/65,3/13/96,1/1/99,Engineer
" 219,035 ",Kristine,Bierman,1/18/65,5/13/88,1/1/99,Technique Leader
" 219,047 ",Aemilian,Kusalik,1/30/65,5/27/87,1/1/99,Senior Engineer
" 219,052 ",Marsal,Acton,1/6/65,8/2/95,1/1/99,Staff
" 219,417 ",Subhrajyoti,Denna,1/29/65,7/25/96,1/1/99,Staff
" 219,497 ",Moie,Zastre,1/22/65,10/11/91,1/1/99,Technique Leader
" 219,967 ",Susanna,Reeken,1/16/65,3/16/98,1/1/99,Senior Staff
" 220,029 ",Demos,Asser,1/17/65,11/4/85,1/1/99,Senior Engineer
" 220,131 ",Reinhard,Slaats,1/9/65,6/8/94,1/1/99,Senior Engineer
" 220,418 ",Poorav,Laventhal,1/23/65,8/16/97,1/1/99,Staff
" 220,528 ",Sibyl,Rabehasaina,1/6/65,2/23/98,1/1/99,Senior Staff
" 220,582 ",Poornachandra,Zielinski,1/8/65,2/13/96,1/1/99,Senior Staff
" 220,611 ",Yuping,Babb,1/23/65,1/31/95,1/1/99,Senior Staff
" 220,625 ",Shigenori,Deville,1/25/65,12/24/92,1/1/99,Technique Leader
" 220,699 ",Nahid,Gyimothy,1/7/65,8/18/95,1/1/99,Staff
" 220,799 ",Perla,Orlowska,1/17/65,10/13/98,1/1/99,Senior Engineer
" 221,126 ",Tesuya,dAstous,1/23/65,11/29/88,1/1/99,Senior Engineer
" 221,367 ",Saddek,Farris,1/13/65,11/6/90,1/1/99,Senior Staff
" 221,369 ",Abdulah,Pocchiola,1/28/65,8/28/96,1/1/99,Engineer
" 221,435 ",Djenana,Marrevee,1/6/65,2/6/94,1/1/99,Senior Engineer
" 221,973 ",Sangeeta,Kalefeld,1/17/65,6/6/90,1/1/99,Senior Staff
" 222,206 ",Stein,Uludag,1/21/65,1/30/88,1/1/99,Senior Staff
" 222,311 ",Miyeon,Billingsley,1/20/65,12/5/92,1/1/99,Senior Engineer
" 222,319 ",Matt,Chvatal,1/20/65,11/9/94,1/1/99,Senior Engineer
" 222,354 ",Valdiodio,Schlumberger,1/15/65,8/7/93,1/1/99,Engineer
" 222,616 ",Badri,Schapire,2/1/65,1/19/98,1/1/99,Assistant Engineer
" 222,770 ",Kazuhiko,Kushner,1/22/65,8/1/95,1/1/99,Senior Engineer
" 222,878 ",Annemarie,Zallocco,1/10/65,5/28/90,12/1/96,Senior Engineer
" 222,926 ",Limsoon,Erol,1/10/65,12/31/97,1/1/99,Senior Engineer
" 222,952 ",Gopalakrishnan,Suermann,1/28/65,4/30/91,1/1/99,Senior Engineer
" 222,998 ",Leaf,Awdeh,1/7/65,10/2/92,1/1/99,Senior Staff
" 223,593 ",Hidefumi,Moehrke,1/20/65,3/4/98,1/1/99,Staff
" 223,595 ",Chiranjit,Dredge,2/1/65,9/5/99,1/1/99,Technique Leader
" 224,135 ",Annemarie,Bressoud,1/2/65,6/23/98,1/1/99,Engineer
" 224,335 ",Perry,Chachaty,1/29/65,7/22/85,1/1/99,Senior Engineer
" 224,390 ",TRUE,Shobatake,1/24/65,5/17/96,1/1/99,Senior Staff
" 224,934 ",George,Miake,1/5/65,1/2/88,1/1/99,Senior Staff
" 225,438 ",Remmert,Quaggetto,1/14/65,4/28/92,1/1/99,Senior Staff
" 225,601 ",Masasuke,Genin,1/13/65,6/25/94,1/1/99,Engineer
" 225,788 ",Ipke,Kieras,1/8/65,12/18/95,1/1/99,Engineer
" 225,867 ",Ramalingam,Remmele,1/26/65,9/3/99,1/1/99,Senior Engineer
